"","bus","opel","saab","van"
"1",10,24,22,0
"2",24,0,0,0
"3",5,33,40,0
"4",28,11,9,64
"5",22,22,27,0
"6",0,27,26,82
"7",10,18,19,0
"8",6,41,30,0
"9",91,25,25,43
"10",22,11,19,10
