"","lhs","","rhs","support","confidence","coverage","lift","count"
"[56]","{V2=Gemeos, V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[57]","{V3=Afundo, V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[58]","{V1=LegPress, V4=Crucifixo}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[59]","{V2=Gemeos, V4=Crucifixo}","=>","{V1=LegPress}",0.0512820512820513,1,0.0512820512820513,2.6,2
"[60]","{V1=LegPress, V4=Crucifixo}","=>","{V2=Gemeos}",0.0512820512820513,1,0.0512820512820513,5.57142857142857,2
"[61]","{V2=Flexor, V3=Bicicleta}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[62]","{V2=Flexor, V4=Esteira}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[63]","{V2=Flexor, V3=Bicicleta}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[64]","{V1=Extensor, V2=Flexor}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[65]","{V2=Flexor, V4=Esteira}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[66]","{V1=Extensor, V2=Flexor}","=>","{V4=Esteira}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[67]","{V2=AgachamentoSmith, V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[68]","{V3=Bicicleta, V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[69]","{V2=AgachamentoSmith, V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[70]","{V1=Extensor, V4=Gemeos}","=>","{V2=AgachamentoSmith}",0.0512820512820513,1,0.0512820512820513,3.9,2
"[71]","{V3=Bicicleta, V4=Gemeos}","=>","{V1=Extensor}",0.0512820512820513,1,0.0512820512820513,3,2
"[72]","{V1=Extensor, V4=Gemeos}","=>","{V3=Bicicleta}",0.0512820512820513,1,0.0512820512820513,3.25,2
"[73]","{V2=LegPress, V4=Bicicleta}","=>","{V1=Gemeos}",0.0256410256410256,1,0.0256410256410256,7.8,1
"[74]","{V1=Gemeos, V4=Bicicleta}","=>","{V2=LegPress}",0.0256410256410256,1,0.0256410256410256,13,1
"[75]","{V2=LegPress, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[76]","{V1=Gemeos, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[77]","{V2=Gemeos, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[78]","{V1=LegPress, V4=Bicicleta}","=>","{V3=Afundo}",0.0256410256410256,1,0.0256410256410256,6.5,1
"[79]","{V2=Gemeos, V4=Bicicleta}","=>","{V1=LegPress}",0.0256410256410256,1,0.0256410256410256,2.6,1
"[80]","{V1=LegPress, V4=Bicicleta}","=>","{V2=Gemeos}",0.0256410256410256,1,0.0256410256410256,5.57142857142857,1
"[81]","{V2=LegPress, V4=Agachamento}","=>","{V1=Gemeos}",0.0512820512820513,1,0.0512820512820513,7.8,2
"[82]","{V1=Gemeos, V4=Agachamento}","=>","{V2=LegPress}",0.0512820512820513,1,0.0512820512820513,13,2
"[83]","{V2=LegPress, V4=Agachamento}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[84]","{V3=Afundo, V4=Agachamento}","=>","{V2=LegPress}",0.0512820512820513,1,0.0512820512820513,13,2
"[85]","{V1=Gemeos, V4=Agachamento}","=>","{V3=Afundo}",0.0512820512820513,1,0.0512820512820513,6.5,2
"[86]","{V3=Afundo, V4=Agachamento}","=>","{V1=Gemeos}",0.0512820512820513,1,0.0512820512820513,7.8,2
"[87]","{V1=Afundo, V2=AgachamentoSmith}","=>","{V4=Esteira}",0.0256410256410256,1,0.0256410256410256,3.25,1
"[88]","{V1=Afundo, V4=Esteira}","=>","{V2=AgachamentoSmith}",0.0256410256410256,1,0.0256410256410256,3.9,1
"[89]","{V1=Afundo, V2=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[90]","{V1=Afundo, V3=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[91]","{V1=Afundo, V2=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
"[92]","{V1=Afundo, V4=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[93]","{V1=Afundo, V3=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
"[94]","{V1=Afundo, V4=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[95]","{V3=LegPress, V4=Adutor}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[96]","{V2=Agachamento, V4=Adutor}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[97]","{V2=Agachamento, V3=LegPress}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[98]","{V3=LegPress, V4=Adutor}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[99]","{V1=Adutor, V4=Adutor}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[100]","{V1=Adutor, V3=LegPress}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[101]","{V2=Agachamento, V4=Adutor}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[102]","{V1=Adutor, V4=Adutor}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[103]","{V1=Adutor, V2=Agachamento}","=>","{V4=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[104]","{V2=Agachamento, V3=LegPress}","=>","{V1=Adutor}",0.0769230769230769,1,0.0769230769230769,13,3
"[105]","{V1=Adutor, V3=LegPress}","=>","{V2=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[106]","{V1=Adutor, V2=Agachamento}","=>","{V3=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[107]","{V1=Gemeos, V2=LegPress}","=>","{V3=Afundo}",0.0769230769230769,1,0.0769230769230769,6.5,3
"[108]","{V2=LegPress, V3=Afundo}","=>","{V1=Gemeos}",0.0769230769230769,1,0.0769230769230769,7.8,3
"[109]","{V1=Gemeos, V3=Afundo}","=>","{V2=LegPress}",0.0769230769230769,1,0.0769230769230769,13,3
"[110]","{V2=Gemeos, V3=Agachamento}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[111]","{V1=LegPress, V3=Agachamento}","=>","{V2=Gemeos}",0.0769230769230769,1,0.0769230769230769,5.57142857142857,3
"[112]","{V2=Gemeos, V3=Agachamento}","=>","{V4=}",0.0769230769230769,1,0.0769230769230769,2.4375,3
"[113]","{V3=Agachamento, V4=}","=>","{V2=Gemeos}",0.0769230769230769,1,0.0769230769230769,5.57142857142857,3
"[114]","{V2=Gemeos, V4=}","=>","{V3=Agachamento}",0.0769230769230769,1,0.0769230769230769,13,3
"[115]","{V1=LegPress, V3=Agachamento}","=>","{V4=}",0.0769230769230769,1,0.0769230769230769,2.4375,3
"[116]","{V3=Agachamento, V4=}","=>","{V1=LegPress}",0.0769230769230769,1,0.0769230769230769,2.6,3
"[117]","{V1=Gemeos, V2=}","=>","{V3=}",0.0512820512820513,1,0.0512820512820513,3,2
"[118]","{V1=Gemeos, V3=}","=>","{V2=}",0.0512820512820513,1,0.0512820512820513,3,2
"[119]","{V1=Gemeos, V2=}","=>","{V4=}",0.0512820512820513,1,0.0512820512820513,2.4375,2
